序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
1692,接收,352.8929,00000100 H,标准帧,数据帧,8,0C CC B7 32 5C D3 33 32 ,
1693,接收,352.8931,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 0C A7 32 A6 ,
1694,接收,352.8933,00000100 H,标准帧,数据帧,8,14 CA 8B 27 DC A9 F2 9E ,
1695,接收,352.8935,00000100 H,标准帧,数据帧,8,18 CA BF 2A 8C AC B2 64 ,
1696,接收,352.8938,00000100 H,标准帧,数据帧,8,1C CA 8B 28 BC AC 72 8B ,
1697,接收,352.8940,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CC B3 42 ,
1698,接收,352.8942,00000101 H,标准帧,数据帧,8,04 CC CF 34 1C CF 73 48 ,
1699,接收,352.8945,00000101 H,标准帧,数据帧,8,08 CC 8F 34 9C CF F3 2D ,
1700,接收,352.8947,00000101 H,标准帧,数据帧,8,0C CD 2B 31 DC CD 33 3A ,
1701,接收,352.8949,00000101 H,标准帧,数据帧,8,10 CA 63 25 8C A6 32 B7 ,
1702,接收,352.8952,00000101 H,标准帧,数据帧,8,14 CA 8B 2A 9C AD 32 AA ,
1703,接收,352.8954,00000101 H,标准帧,数据帧,8,18 CA AF 2B 2C AB 72 95 ,
1704,接收,352.8956,00000101 H,标准帧,数据帧,8,1C CA 97 27 1C AD 32 93 ,
1705,接收,352.8959,00000102 H,标准帧,数据帧,8,00 00 4C 01 20 05 00 13 ,
1706,接收,352.8961,00000102 H,标准帧,数据帧,8,04 CC D7 32 3C CD F3 45 ,
1707,接收,352.8963,00000102 H,标准帧,数据帧,8,08 CC 83 33 3C CD B3 35 ,
1708,接收,352.8965,00000102 H,标准帧,数据帧,8,0C CD 0F 33 7C CA B3 30 ,
1709,接收,352.8968,00000102 H,标准帧,数据帧,8,10 CA 5F 29 8C AA F2 8F ,
1710,接收,352.8970,00000102 H,标准帧,数据帧,8,14 CA 2F 28 AC AC 32 93 ,
1711,接收,352.8972,00000102 H,标准帧,数据帧,8,18 CA BF 2A 2C A8 32 B2 ,
1712,接收,352.8975,00000102 H,标准帧,数据帧,8,1C CA 97 2A EC A6 F2 87 ,
1713,接收,352.9867,00000020 H,标准帧,数据帧,1,F8 ,
1714,接收,352.9935,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 73 39 ,
1715,接收,352.9938,00000100 H,标准帧,数据帧,8,04 CD 37 34 5C D0 F3 2F ,
1716,接收,352.9940,00000100 H,标准帧,数据帧,8,08 CD 3B 33 1C CD F3 38 ,
1717,接收,352.9942,00000100 H,标准帧,数据帧,8,0C CC B7 32 6C D2 F3 35 ,
1718,接收,352.9945,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 1C A7 72 A6 ,
1719,接收,352.9947,00000100 H,标准帧,数据帧,8,14 CA 7F 27 FC A8 F2 9D ,
1720,接收,352.9949,00000100 H,标准帧,数据帧,8,18 CA BF 2A 7C AC 32 63 ,
1721,接收,352.9952,00000100 H,标准帧,数据帧,8,1C CA 8F 28 9C AB 32 88 ,
1722,接收,352.9954,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 3F ,
1723,接收,352.9956,00000101 H,标准帧,数据帧,8,04 CC BF 33 FC CF 33 48 ,
1724,接收,352.9959,00000101 H,标准帧,数据帧,8,08 CC 8B 34 8C CF 73 2C ,
